Music,Genre,SampleRate
"[-0.03338623 -0.05020142 -0.03128052 ... -0.0112915  -0.00750732
 -0.0085144 ]",blues,22050
"[ 0.03570557  0.05581665  0.04812622 ... -0.3829651  -0.410614
 -0.39138794]",blues,22050
"[-0.02020264 -0.03634644 -0.02706909 ...  0.01159668  0.01779175
  0.04614258]",blues,22050
"[-0.23886108 -0.41534424 -0.3161621  ... -0.00558472 -0.00338745
 -0.01620483]",blues,22050
"[-0.01669312 -0.02764893 -0.02191162 ...  0.12365723  0.13430786
  0.1262207 ]",blues,22050
[0.0552063  0.08731079 0.07107544 ... 0.02307129 0.03149414 0.01797485],blues,22050
"[-0.00354004  0.00198364 -0.01864624 ... -0.02862549 -0.01855469
 -0.00570679]",blues,22050
"[-0.10046387 -0.15109253 -0.15005493 ...  0.23175049  0.26260376
  0.25552368]",blues,22050
"[-0.00836182 -0.01040649 -0.01641846 ... -0.09402466 -0.11422729
 -0.16644287]",blues,22050
[0.01361084 0.02810669 0.03515625 ... 0.03616333 0.03378296 0.04040527],blues,22050
"[-0.03277588 -0.04876709 -0.04104614 ... -0.12219238 -0.15109253
 -0.17999268]",blues,22050
"[-0.17077637 -0.27716064 -0.26010132 ...  0.06536865  0.07171631
  0.06881714]",blues,22050
"[ 0.0017395   0.00390625  0.00375366 ... -0.08197021 -0.14053345
 -0.17556763]",blues,22050
"[-0.01089478 -0.01052856 -0.00549316 ... -0.10565186 -0.10415649
 -0.02426147]",blues,22050
"[-0.01055908 -0.01623535 -0.012146   ...  0.0675354   0.07672119
  0.07815552]",blues,22050
"[-0.0980835  -0.08453369 -0.06008911 ... -0.07894897 -0.11987305
 -0.04449463]",blues,22050
"[-0.03082275 -0.03540039 -0.03076172 ...  0.00561523  0.00332642
 -0.00238037]",blues,22050
[0.03710938 0.07446289 0.07992554 ... 0.04644775 0.02532959 0.01647949],blues,22050
"[-0.1104126  -0.16241455 -0.11431885 ...  0.1579895   0.0814209
  0.08309937]",blues,22050
"[ 0.11239624  0.14764404  0.11526489 ... -0.11135864 -0.10614014
 -0.07278442]",blues,22050
"[-0.01901245 -0.04046631 -0.05606079 ... -0.02963257  0.0111084
  0.00811768]",blues,22050
"[ 0.01647949  0.03048706  0.01889038 ... -0.12155151 -0.12945557
 -0.0958252 ]",blues,22050
"[-0.10806274 -0.15075684 -0.17327881 ... -0.10281372 -0.09716797
 -0.07785034]",blues,22050
"[ 0.21246338  0.31881714  0.17388916 ... -0.03594971 -0.04187012
 -0.02597046]",blues,22050
"[-0.04974365 -0.08596802 -0.08615112 ... -0.11828613 -0.1229248
 -0.11422729]",blues,22050
[0.06652832 0.09335327 0.04510498 ... 0.08078003 0.06115723 0.04190063],blues,22050
"[-0.21359253 -0.35723877 -0.31430054 ... -0.0574646  -0.01867676
 -0.01022339]",blues,22050
"[ 0.01705933  0.03436279  0.03353882 ... -0.03640747 -0.01687622
 -0.00280762]",blues,22050
"[-0.19836426 -0.38546753 -0.2819519  ... -0.15209961 -0.08755493
  0.04107666]",blues,22050
"[-0.14169312 -0.22286987 -0.19650269 ... -0.14581299 -0.13986206
 -0.08670044]",blues,22050
"[ 0.00479126  0.05578613  0.12127686 ... -0.00210571 -0.00653076
  0.0010376 ]",blues,22050
"[-0.1638794  -0.28948975 -0.26593018 ...  0.18536377 -0.32614136
 -0.32296753]",blues,22050
"[ 0.00799561  0.0022583   0.01434326 ...  0.00970459 -0.1585083
 -0.15991211]",blues,22050
"[ 0.12524414  0.18426514  0.09741211 ... -0.10821533 -0.17260742
 -0.18206787]",blues,22050
[0.00588989 0.00765991 0.0012207  ... 0.06884766 0.04101562 0.01550293],blues,22050
"[ 0.16952515  0.29315186  0.1512146  ... -0.6881714  -0.79211426
 -0.7977295 ]",blues,22050
"[-0.16659546 -0.23223877 -0.2239685  ... -0.06652832 -0.06881714
 -0.06912231]",blues,22050
[0.06283569 0.08822632 0.08084106 ... 0.22628784 0.29864502 0.20721436],blues,22050
"[-0.13821411 -0.22592163 -0.18408203 ...  0.01663208  0.02062988
 -0.00970459]",blues,22050
"[-0.02407837 -0.05328369 -0.06829834 ... -0.06369019 -0.10137939
  0.00820923]",blues,22050
"[ 0.06378174  0.08837891  0.04940796 ... -0.17605591 -0.14416504
 -0.15023804]",blues,22050
"[ 0.07894897  0.13638306  0.13336182 ... -0.01293945 -0.00521851
  0.00741577]",blues,22050
"[-0.04641724 -0.12106323 -0.13388062 ... -0.2052002  -0.19973755
 -0.19302368]",blues,22050
"[ 0.02215576 -0.02536011 -0.0512085  ...  0.04190063  0.06417847
  0.07730103]",blues,22050
[0.06060791 0.08435059 0.06304932 ... 0.01937866 0.01895142 0.02755737],blues,22050
"[-0.03820801 -0.06240845 -0.06326294 ...  0.03881836  0.02508545
  0.00601196]",blues,22050
"[-0.02502441 -0.15545654 -0.22753906 ... -0.0088501  -0.01254272
 -0.05499268]",blues,22050
[0.04190063 0.11297607 0.15304565 ... 0.02462769 0.01577759 0.01290894],blues,22050
"[-0.13711548 -0.23635864 -0.2230835  ...  0.29779053  0.38290405
  0.48571777]",blues,22050
"[-0.131073   -0.11239624 -0.02319336 ...  0.08990479  0.11972046
  0.10708618]",blues,22050
"[-0.5245056  -0.81640625 -0.5826111  ... -0.03433228 -0.0274353
 -0.03268433]",blues,22050
"[-0.24917603 -0.32904053 -0.15524292 ... -0.30548096 -0.21594238
 -0.16586304]",blues,22050
"[-0.07684326 -0.13812256 -0.118927   ... -0.04815674 -0.13256836
 -0.0440979 ]",blues,22050
"[ 0.15414429  0.1751709   0.0730896  ... -0.2531128  -0.2521057
 -0.13058472]",blues,22050
"[-0.236969   -0.296875   -0.08099365 ...  0.4902649   0.5562134
  0.6029663 ]",blues,22050
"[ 0.23739624  0.36120605  0.30667114 ...  0.17504883  0.01113892
 -0.18429565]",blues,22050
"[-0.13650513 -0.23358154 -0.21896362 ...  0.16055298  0.03646851
 -0.01699829]",blues,22050
[0.25909424 0.48797607 0.5100403  ... 0.5618286  0.7053833  0.5423889 ],blues,22050
"[-0.0244751  -0.0541687  -0.08081055 ... -0.10940552 -0.03323364
 -0.1116333 ]",blues,22050
"[-0.00338745  0.15115356  0.18841553 ... -0.05203247 -0.1149292
 -0.13412476]",blues,22050
"[-0.02090454  0.01016235  0.04364014 ... -0.0977478  -0.09606934
 -0.08364868]",blues,22050
"[-0.05612183 -0.13653564 -0.17175293 ...  0.00213623  0.00097656
  0.0088501 ]",blues,22050
"[ 0.36514282  0.5903015   0.5239563  ... -0.01025391 -0.01419067
 -0.00646973]",blues,22050
"[-0.00299072  0.00485229  0.00845337 ... -0.06799316 -0.09191895
 -0.0987854 ]",blues,22050
[0.23117065 0.3553772  0.30532837 ... 0.01785278 0.02093506 0.01852417],blues,22050
[0.03161621 0.05133057 0.0489502  ... 0.05999756 0.0592041  0.05136108],blues,22050
"[ 0.04489136  0.07424927  0.06942749 ... -0.01293945 -0.05969238
 -0.08255005]",blues,22050
"[ 0.09863281  0.15170288  0.12884521 ... -0.06152344 -0.06439209
 -0.06393433]",blues,22050
"[ 0.04281616  0.06796265  0.06079102 ... -0.02484131 -0.02929688
 -0.03005981]",blues,22050
"[-0.16357422 -0.18377686 -0.14898682 ...  0.3703308   0.38912964
  0.37878418]",blues,22050
"[ 0.00396729  0.00012207  0.0166626  ... -0.03201294 -0.02890015
 -0.03329468]",blues,22050
"[-0.00015259  0.00466919  0.01028442 ... -0.00985718 -0.009552
 -0.01708984]",blues,22050
"[ 0.06954956  0.11352539  0.10494995 ... -0.12515259 -0.15994263
 -0.16281128]",blues,22050
[0.17141724 0.23706055 0.10256958 ... 0.02780151 0.06393433 0.06265259],blues,22050
"[-0.00332642 -0.01135254 -0.00799561 ...  0.00863647  0.01904297
  0.02990723]",blues,22050
[0.009552   0.01864624 0.02017212 ... 0.03118896 0.03997803 0.04785156],classical,22050
"[-0.07998657 -0.09335327 -0.0329895  ... -0.06915283 -0.06433105
 -0.0581665 ]",classical,22050
[0.00708008 0.01190186 0.0123291  ... 0.01312256 0.01364136 0.012146  ],classical,22050
"[-0.01916504 -0.04623413 -0.0696106  ... -0.0083313   0.01409912
  0.03713989]",classical,22050
"[ 0.00698853  0.00720215  0.00360107 ... -0.12380981 -0.16156006
 -0.19015503]",classical,22050
"[-0.0039978  -0.00866699 -0.00790405 ...  0.00918579  0.00997925
  0.00933838]",classical,22050
"[-0.05349731 -0.08444214 -0.07592773 ... -0.01257324 -0.01620483
 -0.01782227]",classical,22050
"[ 0.00079346  0.0017395   0.00183105 ... -0.00402832 -0.00448608
 -0.00424194]",classical,22050
"[-0.00439453 -0.00662231 -0.00616455 ... -0.00485229 -0.00802612
 -0.00921631]",classical,22050
"[ 0.01577759  0.03088379  0.03448486 ... -0.03408813 -0.03344727
 -0.0300293 ]",classical,22050
[0.00930786 0.01437378 0.01144409 ... 0.0105896  0.0140686  0.01730347],classical,22050
"[ 0.00167847  0.00393677  0.00320435 ... -0.00067139 -0.00082397
 -0.00091553]",classical,22050
[0.10583496 0.12988281 0.04690552 ... 0.         0.00112915 0.00189209],classical,22050
"[-0.07763672 -0.12094116 -0.09970093 ... -0.08068848 -0.10897827
 -0.12832642]",classical,22050
"[-0.02301025 -0.02984619 -0.01959229 ...  0.00152588  0.00296021
  0.00167847]",classical,22050
"[ 0.00564575  0.00817871  0.00622559 ... -0.00527954 -0.00521851
 -0.00454712]",classical,22050
"[-0.00662231 -0.00918579 -0.00610352 ...  0.00344849  0.00161743
  0.00119019]",classical,22050
"[-0.0177002   0.01651001  0.05218506 ... -0.01965332 -0.05953979
 -0.09155273]",classical,22050
[0.05654907 0.04812622 0.03131104 ... 0.         0.         0.        ],classical,22050
"[ 0.01296997  0.01077271  0.0088501  ... -0.00262451 -0.00094604
  0.00192261]",classical,22050
"[-0.06307983 -0.05401611 -0.04678345 ...  0.18322754  0.17730713
  0.16671753]",classical,22050
[0.06967163 0.06594849 0.04238892 ... 0.01867676 0.01342773 0.02151489],classical,22050
"[ 0.00784302  0.00726318  0.00582886 ... -0.00891113 -0.01077271
 -0.01013184]",classical,22050
"[-0.22531128 -0.1741333  -0.13241577 ...  0.11032104  0.08300781
  0.05133057]",classical,22050
"[-0.11593628 -0.15219116 -0.12042236 ... -0.05853271 -0.0585022
 -0.06274414]",classical,22050
[0.00305176 0.00137329 0.00415039 ... 0.01333618 0.01409912 0.01431274],classical,22050
"[-0.00204468 -0.00216675 -0.00149536 ... -0.09024048 -0.07614136
 -0.04794312]",classical,22050
"[-0.06484985 -0.10720825 -0.10943604 ...  0.00100708  0.00100708
  0.00109863]",classical,22050
"[-0.20825195 -0.16204834 -0.12033081 ... -0.01043701 -0.01095581
 -0.01226807]",classical,22050
"[-0.16220093 -0.24996948 -0.22930908 ...  0.          0.
  0.        ]",classical,22050
"[ 0.00787354  0.00527954  0.00448608 ... -0.02923584 -0.02362061
 -0.01629639]",classical,22050
"[ 0.05117798  0.04669189  0.10043335 ... -0.0586853  -0.09155273
 -0.12625122]",classical,22050
"[-0.01312256 -0.01367188 -0.01391602 ...  0.00952148  0.01931763
  0.02084351]",classical,22050
"[ 0.00137329  0.00549316  0.0149231  ... -0.02636719 -0.01422119
 -0.0010376 ]",classical,22050
"[-0.02133179 -0.03128052 -0.0368042  ...  0.02316284  0.02017212
  0.01461792]",classical,22050
"[-0.03042603 -0.02200317 -0.02359009 ...  0.03930664  0.0831604
  0.05722046]",classical,22050
"[-0.0173645  -0.01702881 -0.01657104 ... -0.05697632 -0.04873657
 -0.0413208 ]",classical,22050
"[ 0.0255127   0.01046753 -0.01168823 ...  0.01217651  0.01300049
  0.01422119]",classical,22050
"[-0.00540161 -0.00619507 -0.00698853 ... -0.00735474 -0.00778198
 -0.00811768]",classical,22050
"[ 0.00656128  0.00662231  0.00665283 ... -0.01055908 -0.01025391
 -0.01016235]",classical,22050
"[ 0.00131226  0.00128174  0.00131226 ... -0.07116699 -0.07696533
 -0.07522583]",classical,22050
"[ 0.00982666  0.0090332   0.00726318 ... -0.17544556 -0.17849731
 -0.17626953]",classical,22050
"[-0.00109863 -0.0010376  -0.00109863 ... -0.04022217 -0.01620483
  0.00531006]",classical,22050
[0.01068115 0.03204346 0.05667114 ... 0.0173645  0.01751709 0.01815796],classical,22050
"[ 0.0446167   0.03884888  0.03097534 ... -0.00912476 -0.00930786
 -0.00915527]",classical,22050
"[-0.01803589 -0.02142334 -0.01879883 ...  0.05975342  0.06149292
  0.06118774]",classical,22050
[0.00082397 0.00814819 0.01199341 ... 0.00201416 0.01208496 0.01385498],classical,22050
[0.03161621 0.02642822 0.0246582  ... 0.01641846 0.01043701 0.00692749],classical,22050
[0.00601196 0.00238037 0.00372314 ... 0.00845337 0.01815796 0.02368164],classical,22050
"[ 0.02334595  0.02868652  0.02703857 ... -0.02053833 -0.00152588
  0.01318359]",classical,22050
"[-0.00036621 -0.00286865 -0.00531006 ...  0.00921631  0.00747681
  0.00534058]",classical,22050
[0.01049805 0.01318359 0.01434326 ... 0.00848389 0.01269531 0.01455688],classical,22050
"[ 0.00601196  0.003479    0.00106812 ... -0.00708008 -0.00802612
 -0.00906372]",classical,22050
"[ 0.00167847  0.00262451  0.00344849 ... -0.00213623 -0.00228882
 -0.00244141]",classical,22050
"[-0.01782227 -0.01669312 -0.01486206 ... -0.00531006 -0.00546265
 -0.00549316]",classical,22050
"[-0.04049683 -0.0402832  -0.0397644  ...  0.01278687  0.01135254
  0.00958252]",classical,22050
"[-0.03338623 -0.02575684 -0.0166626  ...  0.01620483 -0.00680542
 -0.02270508]",classical,22050
"[-0.00949097 -0.0078125  -0.0055542  ...  0.0090332  -0.00469971
 -0.01504517]",classical,22050
"[ 0.02630615  0.02297974  0.01797485 ...  0.01303101  0.00576782
 -0.00183105]",classical,22050
"[-0.03964233 -0.03643799 -0.03091431 ... -0.03707886 -0.015625
  0.01159668]",classical,22050
"[-0.00100708  0.00228882  0.00390625 ... -0.00299072 -0.01049805
 -0.00704956]",classical,22050
"[-0.01403809 -0.01486206 -0.01907349 ... -0.00994873 -0.00588989
 -0.00238037]",classical,22050
[0.01074219 0.01446533 0.01654053 ... 0.09103394 0.08425903 0.07061768],classical,22050
"[-0.0078125  -0.00787354 -0.00775146 ...  0.05319214  0.00314331
 -0.04696655]",classical,22050
"[-0.02911377 -0.01876831  0.01699829 ...  0.01211548  0.01065063
  0.00872803]",classical,22050
"[ 0.02862549  0.01321411 -0.02185059 ... -0.00158691  0.00186157
  0.00491333]",classical,22050
"[-0.00039673  0.01599121  0.02667236 ... -0.09570312 -0.05700684
 -0.02520752]",classical,22050
"[ 0.02633667  0.04815674  0.05267334 ... -0.12530518 -0.14364624
 -0.11053467]",classical,22050
"[-0.07272339 -0.12576294 -0.11993408 ... -0.01663208 -0.00964355
 -0.00167847]",classical,22050
"[ 0.00534058  0.00323486 -0.00183105 ... -0.00158691 -0.00219727
 -0.00204468]",classical,22050
"[-0.0007019  -0.0010376  -0.0020752  ... -0.00784302 -0.00738525
 -0.00964355]",classical,22050
"[-0.08078003 -0.09741211 -0.0390625  ... -0.00186157 -0.04296875
 -0.05819702]",classical,22050
"[-0.02456665 -0.04626465 -0.03964233 ...  0.04244995  0.04537964
  0.04504395]",classical,22050
[0.00479126 0.00488281 0.0045166  ... 0.01306152 0.01400757 0.01345825],classical,22050
"[ 0.00497437  0.00491333  0.00244141 ...  0.00079346 -0.00396729
 -0.00378418]",classical,22050
"[-0.03689575 -0.03115845 -0.02194214 ...  0.01855469  0.02093506
  0.02236938]",country,22050
[0.1972351  0.18109131 0.15893555 ... 0.08145142 0.07565308 0.06491089],country,22050
"[-0.10757446 -0.1585083  -0.12939453 ...  0.11965942  0.12826538
  0.12832642]",country,22050
"[-0.03527832 -0.03302002 -0.02966309 ...  0.0072937   0.00473022
  0.00683594]",country,22050
"[-0.02224731 -0.0241394  -0.02676392 ... -0.1505127  -0.17611694
 -0.17214966]",country,22050
"[-0.00131226 -0.00311279 -0.00738525 ... -0.04379272 -0.04467773
 -0.04608154]",country,22050
"[ 0.09545898  0.10101318  0.10742188 ...  0.04309082  0.02359009
 -0.01486206]",country,22050
"[-0.01101685 -0.00915527 -0.00811768 ... -0.04425049 -0.03756714
 -0.03192139]",country,22050
"[ 0.00228882  0.01434326  0.02386475 ... -0.1642456  -0.10043335
  0.02682495]",country,22050
"[-0.00280762 -0.01260376 -0.01239014 ...  0.11737061  0.13104248
  0.1262207 ]",country,22050
"[-0.072052   -0.02139282  0.05712891 ...  0.01229858  0.02362061
  0.03048706]",country,22050
"[ 0.00720215  0.00741577  0.00692749 ... -0.03387451 -0.06890869
 -0.07501221]",country,22050
"[ 0.02249146  0.03356934  0.04592896 ... -0.05383301 -0.06958008
 -0.09661865]",country,22050
"[-0.01098633  0.06634521  0.0524292  ... -0.00308228  0.01525879
  0.00650024]",country,22050
[0.12008667 0.17089844 0.11740112 ... 0.059021   0.06976318 0.13381958],country,22050
"[ 0.04107666  0.0406189   0.04562378 ... -0.04745483 -0.05529785
 -0.03515625]",country,22050
[0.10247803 0.08059692 0.10037231 ... 0.08895874 0.11795044 0.16305542],country,22050
"[ 0.06491089  0.05664062  0.0802002  ...  0.01184082 -0.02200317
 -0.00823975]",country,22050
"[ 0.1423645   0.11761475  0.06289673 ... -0.02401733  0.02349854
  0.13815308]",country,22050
"[-0.12930298 -0.13293457 -0.13562012 ... -0.01504517 -0.01538086
 -0.02111816]",country,22050
"[-0.13919067 -0.11087036 -0.08920288 ...  0.21487427  0.20837402
  0.04736328]",country,22050
"[ 0.05090332  0.05529785  0.04110718 ...  0.01272583 -0.00485229
 -0.02026367]",country,22050
"[-0.01055908 -0.01712036 -0.02111816 ...  0.03747559  0.01239014
 -0.03366089]",country,22050
"[ 0.00991821  0.00473022 -0.00244141 ...  0.23114014  0.22109985
  0.21343994]",country,22050
"[-0.04144287 -0.03240967 -0.02157593 ...  0.04397583  0.03790283
  0.02429199]",country,22050
"[ 0.0461731   0.05691528  0.00158691 ... -0.05786133 -0.10861206
 -0.12380981]",country,22050
"[-0.00799561 -0.01971436 -0.03125    ...  0.03573608 -0.03222656
 -0.08355713]",country,22050
"[-0.01470947 -0.02044678 -0.0173645  ... -0.056427   -0.06686401
 -0.06759644]",country,22050
"[-0.02081299 -0.03112793 -0.02337646 ...  0.06750488  0.15997314
  0.21435547]",country,22050
"[-0.0524292  -0.05078125  0.00100708 ...  0.03930664  0.0526123
  0.07250977]",country,22050
[0.09033203 0.11953735 0.10821533 ... 0.00473022 0.06304932 0.11682129],country,22050
"[-0.06842041 -0.11776733 -0.11746216 ...  0.03613281  0.05218506
  0.05300903]",country,22050
"[-0.05865479 -0.02615356  0.06219482 ... -0.12539673 -0.13415527
 -0.11663818]",country,22050
"[ 0.21331787  0.34069824  0.29263306 ... -0.04797363 -0.04437256
  0.01321411]",country,22050
"[ 0.04077148  0.06689453  0.06573486 ... -0.23034668 -0.22885132
 -0.22930908]",country,22050
"[-0.06329346 -0.10385132 -0.10473633 ... -0.05487061 -0.05718994
 -0.05703735]",country,22050
"[ 0.02011108  0.03500366  0.0355835  ... -0.02651978 -0.09307861
 -0.12701416]",country,22050
"[-0.00164795 -0.00827026 -0.02133179 ... -0.00302124  0.0071106
 -0.00256348]",country,22050
[0.33493042 0.50271606 0.43899536 ... 0.08468628 0.08477783 0.07394409],country,22050
"[ 0.04299927  0.06759644  0.06140137 ... -0.01998901 -0.01934814
 -0.01605225]",country,22050
[0.02719116 0.04751587 0.04974365 ... 0.07989502 0.09991455 0.10647583],country,22050
"[-0.0446167  -0.06494141 -0.04318237 ... -0.10662842  0.04641724
  0.17834473]",country,22050
"[-0.02627563 -0.03955078 -0.03259277 ...  0.06784058  0.06689453
  0.06121826]",country,22050
"[-0.012146   -0.01693726 -0.01751709 ... -0.01843262 -0.025177
 -0.03182983]",country,22050
"[ 0.02947998  0.06439209  0.08108521 ... -0.02120972 -0.04342651
 -0.05130005]",country,22050
"[ 0.08029175  0.14419556  0.16375732 ... -0.01300049 -0.02056885
 -0.03701782]",country,22050
"[ 0.02487183  0.0380249   0.02770996 ... -0.02423096 -0.02633667
 -0.03213501]",country,22050
"[-0.0065918  -0.00930786 -0.00805664 ... -0.03271484 -0.09262085
 -0.09381104]",country,22050
"[ 0.09332275  0.15420532  0.13665771 ... -0.05999756 -0.00823975
  0.04086304]",country,22050
"[-0.02590942 -0.04568481 -0.05706787 ...  0.09643555  0.0819397
  0.05276489]",country,22050
"[ 0.07885742  0.16244507  0.17645264 ... -0.04745483 -0.03637695
 -0.02728271]",country,22050
"[-0.15115356 -0.23742676 -0.19647217 ...  0.14752197  0.15960693
  0.15176392]",country,22050
[0.09371948 0.11398315 0.04797363 ... 0.09326172 0.05410767 0.02279663],country,22050
"[-0.03414917 -0.04208374 -0.02587891 ... -0.3187256  -0.3383484
 -0.2798767 ]",country,22050
"[ 0.10232544  0.07290649 -0.05224609 ...  0.07015991  0.06866455
  0.06365967]",country,22050
"[-0.00964355 -0.01760864 -0.03842163 ...  0.02990723  0.06143188
  0.08258057]",country,22050
"[ 0.10665894  0.16796875  0.13589478 ... -0.0793457  -0.10626221
 -0.09490967]",country,22050
"[-0.01470947 -0.04962158 -0.05966187 ...  0.36569214  0.43154907
  0.472229  ]",country,22050
"[-0.04705811 -0.0819397  -0.06274414 ...  0.05810547  0.0269165
 -0.00378418]",country,22050
"[-0.00183105 -0.00997925 -0.01464844 ... -0.29000854 -0.22537231
 -0.17041016]",country,22050
"[ 0.02883911  0.07489014  0.04855347 ... -0.15612793 -0.13851929
 -0.11880493]",country,22050
"[ 0.06518555  0.10369873  0.07818604 ... -0.11758423 -0.1076355
 -0.11001587]",country,22050
"[-0.07571411 -0.1192627  -0.10812378 ...  0.00549316  0.01937866
  0.05264282]",country,22050
"[-0.05899048 -0.0944519  -0.07345581 ... -0.00662231 -0.01599121
 -0.04220581]",country,22050
"[-0.01907349  0.01107788 -0.00460815 ...  0.18780518  0.21450806
  0.2159729 ]",country,22050
"[-0.01998901 -0.04949951 -0.04440308 ...  0.31472778  0.33764648
  0.32583618]",country,22050
"[-0.01675415  0.03018188  0.11499023 ... -0.21264648 -0.09191895
  0.00567627]",country,22050
"[-0.1423645  -0.2215271  -0.11950684 ... -0.07403564 -0.20462036
 -0.09301758]",country,22050
"[ 0.02001953  0.02398682  0.02020264 ... -0.01412964 -0.00695801
  0.00372314]",country,22050
"[ 0.04998779  0.04949951 -0.01251221 ...  0.03579712  0.06695557
  0.07394409]",country,22050
"[-0.02053833 -0.03674316 -0.04138184 ... -0.15707397 -0.10049438
 -0.11895752]",country,22050
"[ 0.04074097  0.12823486 -0.0043335  ... -0.21664429  0.17156982
  0.35287476]",country,22050
"[-0.05926514 -0.08779907 -0.05187988 ...  0.09210205  0.09390259
  0.06674194]",country,22050
"[-0.17755127 -0.2388916  -0.15670776 ... -0.69537354 -0.71554565
 -0.65075684]",country,22050
"[-0.12936401 -0.21520996 -0.20806885 ...  0.11901855  0.07955933
  0.04376221]",country,22050
[0.03063965 0.02542114 0.02191162 ... 0.00616455 0.00479126 0.03515625],disco,22050
"[-0.02359009  0.03094482 -0.00143433 ... -0.3293457  -0.4136963
 -0.12341309]",disco,22050
"[-0.15853882 -0.15530396 -0.15908813 ...  0.02688599  0.03921509
  0.03308105]",disco,22050
"[-0.01568604  0.01831055 -0.04498291 ... -0.11920166 -0.05703735
  0.01599121]",disco,22050
"[ 0.10980225  0.09988403  0.00543213 ... -0.00897217  0.01419067
 -0.10076904]",disco,22050
"[-0.10241699 -0.06164551 -0.11993408 ...  0.0145874   0.07440186
 -0.00054932]",disco,22050
"[-0.0196228  -0.00567627  0.00927734 ...  0.01547241  0.01220703
  0.0319519 ]",disco,22050
"[-0.01702881 -0.00918579 -0.00271606 ... -0.01229858 -0.00866699
 -0.00552368]",disco,22050
"[-0.05606079  0.01226807  0.06271362 ... -0.16149902 -0.16049194
 -0.16586304]",disco,22050
"[-0.03149414 -0.08660889 -0.1427002  ... -0.12075806 -0.09487915
 -0.02420044]",disco,22050
"[-0.08514404 -0.08752441 -0.09707642 ...  0.62249756  0.63378906
  0.7043152 ]",disco,22050
"[ 0.2637024   0.24804688  0.13317871 ... -0.04742432  0.09240723
  0.2604065 ]",disco,22050
"[-0.01626587  0.07577515  0.07928467 ...  0.2401123   0.06555176
  0.11740112]",disco,22050
[0.21795654 0.19354248 0.17358398 ... 0.10876465 0.1008606  0.08755493],disco,22050
"[-0.04180908 -0.03515625 -0.03540039 ...  0.01617432  0.03219604
  0.05780029]",disco,22050
"[-0.18920898 -0.24240112 -0.1685791  ...  0.17984009  0.13867188
  0.05758667]",disco,22050
"[ 0.05020142  0.06350708  0.07614136 ... -0.11071777 -0.0458374
  0.02746582]",disco,22050
"[ 0.12133789  0.01956177  0.0484314  ...  0.01849365  0.00595093
 -0.0322876 ]",disco,22050
[0.06143188 0.06384277 0.06430054 ... 0.5055237  0.58706665 0.51586914],disco,22050
"[-0.26220703 -0.1716919  -0.01559448 ...  0.11639404  0.09091187
  0.06845093]",disco,22050
"[ 0.07867432  0.12042236  0.14501953 ... -0.02474976 -0.02694702
 -0.03384399]",disco,22050
